"Cenario";"Categoria";"Ano";"CustoTotal"
"Iniciativa1";"Custo Total";2017;50000
"Iniciativa1";"Custo Total";2018;50000
"Iniciativa1";"Custo Total";2019;50000
"Iniciativa1";"Custo Total";2020;50000
"Iniciativa1";"Custo Total";2021;50000
"Iniciativa2";"Custo Total";2017;8e+05
"Iniciativa2";"Custo Total";2018;8e+05
"Iniciativa2";"Custo Total";2019;8e+05
"Iniciativa2";"Custo Total";2020;8e+05
"Iniciativa2";"Custo Total";2021;8e+05
"SemIniciativa";"Custo Total";2017;0
"SemIniciativa";"Custo Total";2018;0
"SemIniciativa";"Custo Total";2019;0
"SemIniciativa";"Custo Total";2020;0
"SemIniciativa";"Custo Total";2021;0
"TodasIniciativas";"Custo Total";2017;150000
"TodasIniciativas";"Custo Total";2018;150000
"TodasIniciativas";"Custo Total";2019;150000
"TodasIniciativas";"Custo Total";2020;150000
"TodasIniciativas";"Custo Total";2021;150000
