"Cenario";"Ano";"Replicacao";"NAfastMen15";"NDiasFalta";"PercAfastMen15";"PercFalta";"Pev_Tipico";"Pev_Trajeto";"Pev_DoenOcup";"Pev_NRelac";"TaxaFaltas";"Pev_Afmenor15";"Pev_Afmaior15";"Pev_Safast";"Pev_Obito";"Funcionarios";"FolhadePagamento";"SalarioMedio";"DespesaSATProjetada";"SATProjetado";"FAPProjetado";"IndiceDoSAT";"HorasPorDia";"CustoMDO";"CustoTotal"
"SemIniciativa";2017;1;14,8340751887192;22,9131084443687;0,101364346825635;0,100271896315567;0,00299878738341526;0,00500001850072956;0,00199939940676815;0,00199928431020362;0,000999737244809823;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;2;2,49091405025936;20,9887841852779;0,100016552572516;0,099623628856359;0,00299943865763882;0,00499950610631558;0,0020009632863206;0,00199886575220907;0,000999270628972124;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;3;14,5222153177139;18,7841302453575;0,100264109561825;0,101114198570223;0,00299951046703573;0,00500117704196628;0,0019999648802768;0,002000386279564;0,000998865417435145;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;4;15,7247220738583;16,0814847728215;0,101134435320925;0,0990760431080302;0,00300173883399329;0,00500095582603778;0,0020002481256703;0,00200046236985796;0,00100014516182913;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;5;10,1818435507804;19,8222932959803;0,100440967989589;0,0988485972217367;0,00299981473441134;0,00499975040095375;0,00199998067604711;0,00200057475308917;0,000999311511735964;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;6;11,5977793303993;22,7984762254116;0,100529658327316;0,100875534853332;0,00299903959238325;0,00500057206856843;0,00199973799127589;0,00200047966896242;0,000998738698539583;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;7;8,62439333219936;22,4025047770591;0,0995633205356193;0,100005033365881;0,0029986950618214;0,00500051292794079;0,00200059793866838;0,0020001362890857;0,00100132888533953;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;8;9,78765639839608;23,8158731519895;0,100654262006759;0,0986742440698325;0,00300052168754251;0,00499889824647304;0,0020006454905857;0,00200061072720405;0,00100188972720908;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;9;7,4286120372675;22,1404016702785;0,0996299854518903;0,10041680375786;0,00299990034148657;0,00499937070056748;0,00199941709160701;0,00200002436416852;0,0010005944415354;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
"SemIniciativa";2017;10;10,0528700579678;22,4225540582874;0,0996990421612389;0,100378649995265;0,003000726643629;0,00500108217615619;0,00200073700527937;0,00200043470268293;0,000999902069809265;0,4;0,3;0,2;0,1;3000;2550000;750;153000;0,06;0,02;3;8;20;0
