"Cenario";"Ano";"Replicacao";"Pev_Tipico";"Pev_Trajeto";"Pev_DoenOcup";"Pev_NRelac";"TaxaFaltas";"Pev_Afmenor15";"Pev_Afmaior15";"Pev_Safast";"Pev_Obito";"CustoMedSubstitu";"DiasMedAfast_Men15";"NumeroMultasAPriori_Lei1";"Atendimento_Lei1";"PInvalidez";"Nev_AcaoRegressivaInicial";"PAcaoRegressiva";"PercPresenteismo";"DespesaMedicaMedia";"CustoMedioRefugoRetrabalho";"CustoMedioMPInsumos";"Funcionarios";"FolhadePagamento";"SalarioMedio";"DespesaSATProjetada";"SATProjetado";"FAPProjetado";"IndiceDoSAT";"HorasPorDia";"CustoMDO";"Crise";"FatorCrise";"CustoMedioMulta_Lei1";"CustoMedioAcaoRegressivaINSS";"NB_91_Inicial";"NB_92_Inicial";"NB_93_Inicial";"NB_94_Inicial";"NB_31_Inicial";"NB_32_Inicial";"CustoTotal";"Nev_Afmenor15_Tipico";"Nev_Afmaior15_Tipico";"Nev_Safast_Tipico";"Nev_Obito_Tipico";"Nev_Afmenor15_Trajeto";"Nev_Afmaior15_Trajeto";"Nev_Safast_Trajeto";"Nev_Obito_Trajeto";"Nev_Afmenor15_DoenOcup";"Nev_Afmaior15_DoenOcup";"Nev_Safast_DoenOcup";"Nev_Obito_DoenOcup";"Nev_Afmenor15_NRelac";"Nev_Afmaior15_NRelac";"Nev_Safast_NRelac";"Nev_Obito_NRelac";"NFaltas";"NSubstituidos";"DespesaTurnover";"NumeroMultas_Lei1";"DespesaMultas";"Nev_AcaoRegressivaINSS";"Nev_AcaoRegressivaINSSAcumulado";"AcoesRegressivasINSS";"DespesaAcoesRegressivasINSS";"NB_91";"NB_92";"NB_93";"NB_94";"NB_31";"NB_32";"NB_91_Acumulado";"NB_92_Acumulado";"NB_93_Acumulado";"NB_94_Acumulado";"NB_31_Acumulado";"NB_32_Acumulado";"HorasPresenteismo";"DespesaPresenteismo";"EventosDespesasMedicas";"DespesasMedicas";"EventosRefugoeRetrabalho";"DespesasRefugoERetrabalho";"EventosMPInsumos";"DespesasMPInsumos";"DiasAbsenteismo";"DespesaAbsenteismo";"CustoTotalDescontado";"DespesaTurnoverDescontado";"DespesaAbsenteismoDescontado";"DespesaMultasDescontado";"DespesaAcoesRegressivasINSSDescontado"
"Iniciativa1";2017;1;0,00301317153147486;0,00297879893676875;0,00303180442343724;0,00304434046194703;3,93512265696525;0,399353059029137;0,297712411251473;0,200026482227712;0,100007004588429;1015,8168133859;5,01005131409809;2,00616830813646;1,00236831684728;0,496189050650198;9,99723982506211;0,10130349398827;0,00995583010639561;1969,13594402508;2002,55283970139;2029,26959892179;3000;2550000;750;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;11805;16;-16253,0690141745;0;0;7,46570145585178;17,4629412809139;2;-30000;3;4;3;6;3;1;4;5;4;7;4;2;238,939922553495;3584,09883830242;18;35444,4469924515;20;40051,0567940278;20;40585,3919784358;11885,1608210256;-1426219,29852307;50000;-16253,0690141745;-1426219,29852307;0;-30000
"Iniciativa1";2018;1;0,00301647950079496;0,00293969968413851;0,00308011785861116;0,00300649637812676;3,94851821383997;0,394584220940009;0,300475268867193;0,199668936630026;0,101464905704705;1009,17361013684;5,00859026834006;2,0042125906474;0,997121049172033;0,493073553199145;10,118416805324;0,100170394796677;0,0101352380990662;1968,24041675411;1954,35697905535;2028,4471283798;3000;2550000;810;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;11846;16;-16146,7777621895;0;0;7,4376619787923;24,9006032597062;3;-45000;3;4;3;6;3;1;7;9;7;13;7;3;243,245714377588;3648,68571566382;18;35428,327501574;20;39087,139581107;20;40568,9425675961;11926,1374442934;-1431136,49331521;45454,5454545454;-14678,8888747177;-1301033,1757411;0;-40909,0909090909
"Iniciativa1";2017;2;0,00306974708338213;0,00302484285434325;0,00297383592046314;0,00303676239256295;4,01928659768093;0,397792116063625;0,297921255113221;0,198776714215071;0,101192551385401;990,984549206875;5,03369074423156;1,98396857857325;0,993453769395979;0,495878621244889;9,78473660056118;0,100588152157021;0,0100031555914154;2000,58839628575;1994,47216602728;1990,31230458775;3000;2550000;750;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;12058;16;-15855,75278731;0;0;7,462907591204;17,2476441917652;2;-30000;3;4;3;6;3;1;4;5;4;7;4;2;240,075734193971;3601,13601290956;18;36010,5911331435;20;39889,4433205457;20;39806,246091755;12138,5390519077;-1456624,68622892;50000;-15855,75278731;-1456624,68622892;0;-30000
"Iniciativa1";2018;2;0,00301628033618154;0,00294641790147633;0,00301592779771538;0,00298521451407534;3,99894461938208;0,401088413472179;0,301967829551696;0,200813789603723;0,101362507494015;986,560968266072;4,97255594870169;1,96132783141594;1,01098836666326;0,502089960724922;9,97168678293238;0,100055625578323;0,0100762055322036;1955,20285262121;2017,92453370286;2039,42047563973;3000;2550000;810;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;11997;16;-15784,9754922571;0;0;7,51880964652429;24,7664538382895;3;-45000;3;5;3;6;3;2;7;10;7;13;7;4;241,828932772885;3627,43399159328;18;35193,6513471818;20;40358,4906740572;20;40788,4095127945;12076,5608951792;-1449187,30742151;45454,5454545454;-14349,9777202338;-1317443,00674682;0;-40909,0909090909
"Iniciativa1";2017;3;0,00299502515877159;0,0030517754746874;0,00300228215524858;0,0029971580014281;3,99678589279033;0,395352570002516;0,299711987808482;0,199897011437188;0,100250754259564;1012,90216966476;4,92538694378741;2,01988553727013;0,974324359643552;0,4910490735856;10,0504280359506;0,0991189983382391;0,00986748173737333;2016,92415798275;2001,06867611054;2014,01764822275;3000;2550000;750;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;11990;16;-16206,4347146362;0;0;7,4194416622704;17,469869698221;2;-30000;3;4;3;6;3;1;4;5;4;7;4;2;236,81956169696;3552,2934254544;18;36304,6348436895;20;40021,3735222108;20;40280,3529644549;12068,8061911006;-1448256,74293207;50000;-16206,4347146362;-1448256,74293207;0;-30000
"Iniciativa1";2018;3;0,00297132152598365;0,00304177651195395;0,00298508022898777;0,00299827694082899;3,98226291702776;0,405525679191496;0,303810947340354;0,199027931084943;0,0989801559128088;985,065755698363;4,95876560311573;2,02035074847653;0,992040242084827;0,492871996561943;9,9377964162104;0,100346781679337;0,00991780424197177;2036,29822311086;1980,7263642786;2010,06858043342;3000;2550000;810;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;11947;16;-15761,0520911738;0;0;7,43584796905749;24,9057176672785;3;-45000;3;4;3;6;3;1;7;9;7;13;7;3;238,027301807323;3570,40952710984;18;36653,3680159954;20;39614,5272855721;20;40201,3716086683;12026,3402496499;-1443160,82995798;45454,5454545454;-14328,2291737944;-1311964,39087089;0;-40909,0909090909
"Iniciativa1";2017;4;0,00304079016402766;0,00303611524460156;0,00296971930654043;0,00296871966162125;3,98673893781374;0,397633535709478;0,297177700151697;0,197162185774003;0,0994784360197047;1003,39086149778;5,00923205157754;2,01374078225291;0,988893908158292;0,486246809834069;10,0618889135636;0,0979909678084708;0,00985586771253679;2008,25311192733;1990,43192937624;1984,82415713608;3000;2550000;750;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;11960;16;-16054,2537839645;0;0;7,37622128850662;17,4381102020702;2;-30000;3;4;3;6;3;1;4;5;4;7;4;2;236,540825100883;3548,11237651324;18;36148,556014692;20;39808,6385875249;20;39696,4831427216;12040,1477128252;-1444817,72553903;50000;-16054,2537839645;-1444817,72553903;0;-30000
"Iniciativa1";2018;4;0,00299333068316173;0,00297154179574963;0,00298558727237303;0,00299258713311102;4,04096609571099;0,398889299028611;0,302326107560774;0,199540213547654;0,100284218082405;994,186588796773;5,00912609022572;1,99062757539315;0,994291385878344;0,501412574093042;10,0833373861422;0,100174167702665;0,00989792741434393;2009,59884810149;2025,81086452474;1996,86762662281;3000;2550000;810;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;12123;16;-15906,9854207484;0;0;7,51271316683737;24,9508233689076;3;-45000;3;5;3;6;3;2;7;10;7;13;7;4;237,550257944254;3563,25386916382;18;36172,7792658268;20;40516,2172904947;20;39937,3525324562;12203,1460174436;-1464377,52209323;45454,5454545454;-14460,895837044;-1331252,29281203;0;-40909,0909090909
"Iniciativa1";2017;5;0,00302301417205892;0,00297071244751176;0,00301392615698428;0,00299539239969751;4,01152256806849;0,403284328442796;0,296029557329833;0,199995127164767;0,0998262180798802;1001,15828928338;4,98656284858222;1,97113658066037;1,00525056651727;0,495056618924306;9,98333602310759;0,101542160569826;0,00994781013635205;1974,21690549312;2003,16973687456;1975,23067637109;3000;2550000;750;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;12035;16;-16018,532628534;0;0;7,45550957031875;17,4388455934263;2;-30000;3;4;3;6;3;1;4;5;4;7;4;2;238,747443272449;3581,21164908674;18;35535,9042988761;20;40063,3947374912;20;39504,6135274218;12114,7850055773;-1453774,20066928;50000;-16018,532628534;-1453774,20066928;0;-30000
"Iniciativa1";2018;5;0,00303029490245732;0,00298618578920312;0,00306056361781854;0,00302252778906938;4,01306619122294;0,40161698695118;0,302919653782443;0,197358051765577;0,101595325473423;997,031534599003;5,02606988057634;1,99070966675405;0,985494548413958;0,50082205660881;10,0662942377626;0,0996032923037091;0,0100439568159582;1992,44593714334;1975,49356446214;1999,9205228048;3000;2550000;810;153000;0,06;0,02;3;8;15;1;0,1;1000;15000;1;1;1;1;1;1;50000;4;3;2;1;4;3;2;1;4;3;2;1;4;3;2;1;12039;16;-15952,504553584;0;0;7,50739850947929;24,9462441029056;3;-45000;3;5;3;6;3;2;7;10;7;13;7;4;241,054963582997;3615,82445374496;18;35864,0268685801;20;39509,8712892428;20;39998,410456096;12119,4171180892;-1454330,05417071;45454,5454545454;-14502,2768668946;-1322118,23106428;0;-40909,0909090909
