"Cenario.x";"Replicacao";"Soma_DespesaTurnover.x";"Soma_DespesaAbsenteismo.x";"Soma_DespesaMultas.x";"Soma_DespesaAcoesRegressivasINSS.x";"Cenario.y";"Soma_DespesaTurnover.y";"Soma_DespesaAbsenteismo.y";"Soma_DespesaMultas.y";"Soma_DespesaAcoesRegressivasINSS.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"SemIniciativa";1;-53315,4288519509;-3516622,94190241;0;-99545,4545454545;"Iniciativa1";-30931,9578888922;-2727252,47426417;0;-70909,0909090909;95454,5454545454;22383,4709630587;789370,467638243;0;28636,3636363636;840390,302237666;8,80408888058507
"SemIniciativa";2;-53779,4575419726;-3471222,50019003;0;-99545,4545454545;"Iniciativa1";-30205,7305075438;-2774067,69297575;0;-70909,0909090909;95454,5454545454;23573,7270344288;697154,807214281;0;28636,3636363636;749364,897885074;7,85048940641506
"SemIniciativa";3;-53000,5087478944;-3498010,88968875;0;-99545,4545454545;"Iniciativa1";-30534,6638884305;-2760221,13380296;0;-70909,0909090909;95454,5454545454;22465,8448594639;737789,755885787;0;28636,3636363636;788891,964381614;8,26458248399787
"SemIniciativa";4;-54226,7832190877;-3462398,78664658;0;-99545,4545454545;"Iniciativa1";-30515,1496210085;-2776070,01835106;0;-70909,0909090909;95454,5454545454;23711,6335980791;686328,768295519;0;28636,3636363636;738676,765529961;7,73851849602817
"SemIniciativa";5;-53861,3570419085;-3453898,71574573;0;-99545,4545454545;"Iniciativa1";-30520,8094954286;-2775892,43173356;0;-70909,0909090909;95454,5454545454;23340,5475464799;678006,284012176;0;28636,3636363636;729983,19519502;7,64744299728116
"SemIniciativa";6;-53813,1083729974;-3440951,48747648;0;-99545,4545454545;"Iniciativa1";-30732,8115327606;-2712601,47464823;0;-70909,0909090909;95454,5454545454;23080,2968402367;728350,012828247;0;28636,3636363636;780066,673304847;8,17212705366983
"SemIniciativa";7;-53585,0494203911;-3456790,37929893;0;-99545,4545454545;"Iniciativa1";-30668,1093556258;-2788745,08236769;0;-70909,0909090909;95454,5454545454;22916,9400647652;668045,296931245;0;28636,3636363636;719598,600632374;7,53865200662487
"SemIniciativa";8;-53149,5120522112;-3460994,06740132;0;-99545,4545454545;"Iniciativa1";-30467,2792057556;-2753969,74777719;0;-70909,0909090909;95454,5454545454;22682,2328464556;707024,319624133;0;28636,3636363636;758342,916106952;7,94454483540617
"SemIniciativa";9;-54001,625183278;-3462307,6494284;0;-99545,4545454545;"Iniciativa1";-30767,8868077931;-2774250,56607912;0;-70909,0909090909;95454,5454545454;23233,7383754849;688057,083349281;0;28636,3636363636;739927,185361129;7,75161813235469
"SemIniciativa";10;-53211,2034640489;-3438078,62332139;0;-99545,4545454545;"Iniciativa1";-30347,2673563439;-2723569,18751125;0;-70909,0909090909;95454,5454545454;22863,936107705;714509,43581014;0;28636,3636363636;766009,735554209;8,02486389628219
"SemIniciativa";11;-53143,3010341773;-3482450,48810015;0;-99545,4545454545;"Iniciativa1";-30369,3446381326;-2774899,17598801;0;-70909,0909090909;95454,5454545454;22773,9563960447;707551,312112142;0;28636,3636363636;758961,63214455;7,95102662246672
"SemIniciativa";12;-53606,7812077487;-3415673,44789985;0;-99545,4545454545;"Iniciativa1";-30495,2644892528;-2771821,62232435;0;-70909,0909090909;95454,5454545454;23111,5167184959;643851,8255755;0;28636,3636363636;695599,705930359;7,28723501450853
"SemIniciativa";13;-53862,9704953592;-3448843,01791422;0;-99545,4545454545;"Iniciativa1";-30241,8347043212;-2769463,88101687;0;-70909,0909090909;95454,5454545454;23621,1357910379;679379,136897356;0;28636,3636363636;731636,636324758;7,66476476149746
"SemIniciativa";14;-53464,6248844609;-3443096,91330915;0;-99545,4545454545;"Iniciativa1";-30403,7781837629;-2779120,2828377;0;-70909,0909090909;95454,5454545454;23060,846700698;663976,63047145;0;28636,3636363636;715673,840808512;7,49753547513679
"SemIniciativa";15;-52758,9546612907;-3465681,5042365;0;-99545,4545454545;"Iniciativa1";-30494,5566368262;-2781973,20097207;0;-70909,0909090909;95454,5454545454;22264,3980244644;683708,303264434;0;28636,3636363636;734609,064925262;7,69590448969322
"SemIniciativa";16;-53359,7930755865;-3447543,95632875;0;-99545,4545454545;"Iniciativa1";-30883,6795722972;-2772778,11035057;0;-70909,0909090909;95454,5454545454;22476,1135032892;674765,845978174;0;28636,3636363636;725878,323117827;7,60443957552009
"SemIniciativa";17;-53859,4266973374;-3494230,98042941;0;-99545,4545454545;"Iniciativa1";-30638,241523725;-2779477,30875831;0;-70909,0909090909;95454,5454545454;23221,1851736125;714753,671671102;0;28636,3636363636;766611,220481078;8,03116516694463
"SemIniciativa";18;-53515,6835261964;-3454981,18115398;0;-99545,4545454545;"Iniciativa1";-30466,7039855756;-2753847,64796468;0;-70909,0909090909;95454,5454545454;23048,9795406209;701133,533189296;0;28636,3636363636;752818,876366281;7,88667394288485
"SemIniciativa";19;-53772,9362808955;-3489822,90002795;0;-99545,4545454545;"Iniciativa1";-30395,5580103433;-2767066,77988774;0;-70909,0909090909;95454,5454545454;23377,3782705522;722756,120140207;0;28636,3636363636;774769,862047123;8,11663665001748
"SemIniciativa";20;-53481,2660175846;-3478446,14823228;0;-99545,4545454545;"Iniciativa1";-30803,6323596362;-2761805,88807737;0;-70909,0909090909;95454,5454545454;22677,6336579485;716640,26015491;0;28636,3636363636;767954,257449222;8,04523507803948
"SemIniciativa";21;-53499,3361326367;-3496742,56670594;0;-99545,4545454545;"Iniciativa1";-30619,1922296822;-2739085,53458116;0;-70909,0909090909;95454,5454545454;22880,1439029546;757657,032124777;0;28636,3636363636;809173,539664096;8,47705612981433
"SemIniciativa";22;-53669,2674880554;-3472064,01277311;0;-99545,4545454545;"Iniciativa1";-30540,8518465824;-2770292,53357659;0;-70909,0909090909;95454,5454545454;23128,415641473;701771,479196518;0;28636,3636363636;753536,258474355;7,89418937449324
"SemIniciativa";23;-52804,1652370989;-3518603,6570636;0;-99545,4545454545;"Iniciativa1";-30409,6044427656;-2740516,02109191;0;-70909,0909090909;95454,5454545454;22394,5607943333;778087,635971699;0;28636,3636363636;829118,560402396;8,68600396612034
"SemIniciativa";24;-53374,3724691293;-3428998,62249314;0;-99545,4545454545;"Iniciativa1";-30703,1399746765;-2758743,00761579;0;-70909,0909090909;95454,5454545454;22671,2324944528;670255,614877356;0;28636,3636363636;721563,211008172;7,55923363913323
"SemIniciativa";25;-53468,151371544;-3456165,79354578;0;-99545,4545454545;"Iniciativa1";-30343,2087208943;-2747102,03830485;0;-70909,0909090909;95454,5454545454;23124,9426506497;709063,755240927;0;28636,3636363636;760825,06152794;7,97054826362604
"SemIniciativa";26;-52896,4640320945;-3463661,0446912;0;-99545,4545454545;"Iniciativa1";-30617,6422687626;-2738620,30730897;0;-70909,0909090909;95454,5454545454;22278,8217633319;725040,737382229;0;28636,3636363636;775955,922781925;8,1290620481916
"SemIniciativa";27;-53139,9774487028;-3461558,32447858;0;-99545,4545454545;"Iniciativa1";-30467,2994036229;-2781417,05069204;0;-70909,0909090909;95454,5454545454;22672,6780450799;680141,273786548;0;28636,3636363636;731450,315467991;7,66281282871229
