"Cenario";"Ano";"Replicacao";"NAfastMen15";"NDiasFalta";"PercAfastMen15";"PercFalta";"Funcionarios";"FolhadePagamento";"SalarioMedio";"DespesaSATProjetada";"SATProjetado";"FAPProjetado";"IndiceDoSAT";"HorasPorDia";"CustoMDO";"CustoTotal"
"SemIniciativa";2017;1;8,45839352685619;17,2519379576829;0,0998217494319503;0,0987221534209554;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;2;14,5730242443583;18,8548457771895;0,0998651664118092;0,0995734606866519;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;3;10,826963940206;19,6295235558997;0,0998520475422211;0,101394485070655;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;4;11,5681640771608;12,9371605800809;0,10030359943288;0,0999076842698841;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;5;9,27917229501091;15,7131760093797;0,100419957354903;0,0998523387272354;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;6;9,31560780689569;19,2068005953002;0,100574782125596;0,100225492888087;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;7;5,49969945414688;12,6105230379508;0,100562080266825;0,100854245399648;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;8;10,1321675729861;20,5830687429166;0,0992133763323682;0,100117152735713;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;9;12,185428586001;18,485958257193;0,100654750885831;0,0993875817471736;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;10;2,84926015601177;20,7747569359508;0,0999289995446661;0,100161746481499;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;11;9,18737961375338;25,7687225142467;0,101062133934897;0,0997881399309001;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;12;9,69963197270785;23,0283384720513;0,0999669174746687;0,0997235457706428;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;13;11,8093719865714;21,5218774773585;0,0988254971605754;0,100876304267811;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;14;9,09987207443912;23,6075334666855;0,0996831676780531;0,100044808804318;3000;2550000;750;153000;0,06;0,02;3;8;20;50
"SemIniciativa";2017;15;6,81445773677286;17,2340133792456;0,100753336639614;0,0981587545067184;3000;2550000;750;153000;0,06;0,02;3;8;20;50
