"";"Cenario.x";"Replicacao";"Soma_DespesaTurnoverDescontado.x";"Soma_DespesaAbsenteismoDescontado.x";"Soma_DespesaMultasDescontado.x";"Soma_DespesaAcoesRegressivasINSSDescontado.x";"Soma_DespesaFAPDescontado.x";"Soma_DespesasImagemContratacaoDescontado.x";"Soma_DespesasReabilitacaoDescontado.x";"Soma_DespesasPlanodeSaudeDescontado.x";"Soma_DespesasReclamatoriasDescontado.x";"Soma_DespesasClimaDescontado.x";"Soma_DespesasMedicasDescontado.x";"Soma_DespesasRefugoERetrabalhoDescontado.x";"Soma_DespesasMPInsumosDescontado.x";"Soma_DespesaPresenteismoDescontado.x";"Soma_DespesasInterrupcaoAcidentesDescontado.x";"Soma_DespesasInterdicaoFiscalizacaoDescontado.x";"Soma_GanhoQualidadeDescontado.x";"Soma_GanhoProdutividadeDescontado.x";"Soma_GanhoImagemReceitaDescontado.x";"Soma_DespesasSeguroPatrimonialDescontado.x";"NomeIniciativa.x";"AnosDelay.x";"Cenario.y";"Soma_DespesaTurnoverDescontado.y";"Soma_DespesaAbsenteismoDescontado.y";"Soma_DespesaMultasDescontado.y";"Soma_DespesaAcoesRegressivasINSSDescontado.y";"Soma_DespesaFAPDescontado.y";"Soma_DespesasImagemContratacaoDescontado.y";"Soma_DespesasReabilitacaoDescontado.y";"Soma_DespesasPlanodeSaudeDescontado.y";"Soma_DespesasReclamatoriasDescontado.y";"Soma_DespesasClimaDescontado.y";"Soma_DespesasMedicasDescontado.y";"Soma_DespesasRefugoERetrabalhoDescontado.y";"Soma_DespesasMPInsumosDescontado.y";"Soma_DespesaPresenteismoDescontado.y";"Soma_DespesasInterrupcaoAcidentesDescontado.y";"Soma_DespesasInterdicaoFiscalizacaoDescontado.y";"Soma_GanhoQualidadeDescontado.y";"Soma_GanhoProdutividadeDescontado.y";"Soma_GanhoImagemReceitaDescontado.y";"Soma_DespesasSeguroPatrimonialDescontado.y";"NomeIniciativa.y";"AnosDelay.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioFAP";"BeneficioImagemContratacao";"BeneficioReabilitacao";"BeneficioPlanodeSaude";"BeneficioReclamatorias";"BeneficioClima";"BeneficioDespesasMedicas";"BeneficioRefugoERetrabalho";"BeneficioMPInsumos";"BeneficioPresenteismo";"BeneficioInterrupcaoAcidentes";"BeneficioInterdicaoFiscalizacao";"BeneficioGanhoQualidade";"BeneficioGanhoProdutividade";"BeneficioGanhoImagemReceita";"BeneficioSeguroPatrimonial";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"1";"ASIS";1;-7460,77898305506;-295089,221410237;-13537,3960460103;0;-1403079,30393712;-57433,384332413;0;-2015105,07663217;-468292,525258873;-165774,138055647;-22505,3793150936;0;0;0;0;0;1,72369306950897e-05;1,72369306950897e-05;0;1,72369306950897e-05;"AS IS";0;"Iniciativa 1";-7129,20873512118;-2508162,87926711;-11935,1876990781;0;-1387657,14706638;-57402,6425333572;0;-2015105,07663217;-468041,866954854;-165774,138055647;-516320,725524819;0;0;0;0;0;0;74317,7187634979;0;0;"PTA";0;213283,587186668;331,570247933884;-2213073,65785687;1602,20834693219;0;15422,1568707372;30,7417990557879;0;0;250,658304018958;0;-493815,346209725;0;0;0;0;0;-1,72369306950897e-05;74317,718746261;0;-1,72369306950897e-05;-2614933,94978613;-12,2603618228604
"2";"ASIS";1;-7460,77898305506;-295089,221410237;-13537,3960460103;0;-1403079,30393712;-57433,384332413;0;-2015105,07663217;-468292,525258873;-165774,138055647;-22505,3793150936;0;0;0;0;0;1,72369306950897e-05;1,72369306950897e-05;0;1,72369306950897e-05;"AS IS";0;"Iniciativa 2";-7460,77898305506;-2507890,09127896;-7234,95772402655;0;-1403079,30393712;-57433,384332413;0;-2015105,07663217;-468292,525258873;-165774,138055647;-517205,247504552;0;0;0;0;0;0;8339,73089745224;0;20849,3272365001;"Cabine de modelagem";0;55000;0;-2212800,86986872;6302,43832198375;0;0;0;0;0;0;0;-494699,868189458;0;0;0;0;0;-1,72369306950897e-05;8339,73088021531;0;20849,3272192632;-2672009,24165396;-48,5819862118901
"3";"ASIS";1;-7460,77898305506;-295089,221410237;-13537,3960460103;0;-1403079,30393712;-57433,384332413;0;-2015105,07663217;-468292,525258873;-165774,138055647;-22505,3793150936;0;0;0;0;0;1,72369306950897e-05;1,72369306950897e-05;0;1,72369306950897e-05;"AS IS";0;"Iniciativa 3";-6606,07010201738;-2506010,63383746;-13537,3960460103;0;-1387657,14706638;-57354,1393192196;0;-2015105,07663217;-467646,388037919;-165774,138055647;-514712,902534146;0;0;0;0;0;0;0;0;0;"Adequação NR12 Serra circular";0;28397,138173622;854,708881037684;-2210921,41242722;0;0;15422,1568707372;79,2450131933874;0;0;646,137220953475;0;-492207,523219052;0;0;0;0;0;-1,72369306950897e-05;-1,72369306950897e-05;0;-1,72369306950897e-05;-2686126,68771206;-94,5914574662031
"4";"ASIS";2;-7237,09985035796;-295021,142117363;-978,681823925618;0;-1399774,55603624;-57412,6457438539;0;-2015105,07663217;-468123,429773389;-165774,138055647;-22727,5966398688;0;0;0;0;0;1,69893103978365e-05;1,69893103978365e-05;0;1,69893103978365e-05;"AS IS";0;"Iniciativa 1";-6661,64735394378;-2493716,06181448;-2289,72934827707;0;-1388758,7297;-57359,2922083025;0;-2015105,07663217;-467688,402964761;-165774,138055647;-513071,702841517;0;0;0;0;0;0;74037,0425277095;0;0;"PTA";0;213283,587186668;575,45249641418;-2198694,91969711;-1311,04752435145;0;11015,8263362409;53,3535355513595;0;0;435,026808627998;0;-490344,106201648;0;0;0;0;0;-1,69893103978365e-05;74037,0425107202;0;-1,69893103978365e-05;-2604233,37176954;-12,2101911643594
"5";"ASIS";2;-7237,09985035796;-295021,142117363;-978,681823925618;0;-1399774,55603624;-57412,6457438539;0;-2015105,07663217;-468123,429773389;-165774,138055647;-22727,5966398688;0;0;0;0;0;1,69893103978365e-05;1,69893103978365e-05;0;1,69893103978365e-05;"AS IS";0;"Iniciativa 2";-6935,67235223625;-2493746,38209908;-523,049011590516;0;-1388758,7297;-57384,6986538032;0;-2015105,07663217;-467895,558587917;-165774,138055647;-513945,90781333;0;0;0;0;0;0;8339,73089727019;0;20849,3272363181;"Cabine de modelagem";0;55000;301,427498121713;-2198725,23998172;455,632812335102;0;11015,8263362409;27,9470900507149;0;0;227,871185471828;0;-491218,311173462;0;0;0;0;0;-1,69893103978365e-05;8339,73088028088;0;20849,3272193288;-2648725,78815034;-48,1586506936425
"6";"ASIS";2;-7237,09985035796;-295021,142117363;-978,681823925618;0;-1399774,55603624;-57412,6457438539;0;-2015105,07663217;-468123,429773389;-165774,138055647;-22727,5966398688;0;0;0;0;0;1,69893103978365e-05;1,69893103978365e-05;0;1,69893103978365e-05;"AS IS";0;"Iniciativa 3";-6296,92008121651;-2491563,81638483;-978,681823925618;0;-1376641,32073014;-57325,4762293412;0;-2015105,07663217;-467412,67883034;-165774,138055647;-511916,01681623;0;0;0;0;0;0;0;0;0;"Adequação NR12 Serra circular";0;28397,138173622;940,179769141452;-2196542,67426746;0;0;23133,235306106;87,169514512716;0;0;710,750943048915;0;-489188,420176362;0;0;0;0;0;-1,69893103978365e-05;-1,69893103978365e-05;0;-1,69893103978365e-05;-2660859,75896198;-93,7016872155675
"7";"ASIS";3;-3819,65936256217;-209065,081216731;-303,57693593528;0;-1345744,96213253;-57095,7950329847;0;-2015105,07663217;-465539,93550002;-165774,138055647;-16736,0769842179;0;0;0;0;0;1,06847278201037e-05;1,06847278201037e-05;0;1,06847278201037e-05;"AS IS";0;"Iniciativa 1";-3819,65936256217;-1748729,27269474;-162,244370336537;0;-1345744,96213253;-57095,7950329847;0;-2015105,07663217;-465539,93550002;-165774,138055647;-360216,472871369;0;0;0;0;0;0;65728,0018620157;0;0;"PTA";0;213283,587186668;0;-1539664,19147801;141,332565598743;0;0;0;0;0;0;0;-343480,395887151;0;0;0;0;0;-1,06847278201037e-05;65728,0018513309;0;-1,06847278201037e-05;-1817275,2529696;-8,52046459336368
"8";"ASIS";3;-3819,65936256217;-209065,081216731;-303,57693593528;0;-1345744,96213253;-57095,7950329847;0;-2015105,07663217;-465539,93550002;-165774,138055647;-16736,0769842179;0;0;0;0;0;1,06847278201037e-05;1,06847278201037e-05;0;1,06847278201037e-05;"AS IS";0;"Iniciativa 2";-3819,65936256217;-1748369,63592063;-162,244370336537;0;-1345744,96213253;-57095,7950329847;0;-2015105,07663217;-465539,93550002;-165774,138055647;-361073,272814555;0;0;0;0;0;0;8339,73088352391;0;20849,3272225718;"Cabine de modelagem";0;55000;0;-1539304,55470389;141,332565598743;0;0;0;0;0;0;0;-344337,195830337;0;0;0;0;0;-1,06847278201037e-05;8339,73087283919;0;20849,3272118871;-1854311,35989459;-33,7147519980835
"9";"ASIS";3;-3819,65936256217;-209065,081216731;-303,57693593528;0;-1345744,96213253;-57095,7950329847;0;-2015105,07663217;-465539,93550002;-165774,138055647;-16736,0769842179;0;0;0;0;0;1,06847278201037e-05;1,06847278201037e-05;0;1,06847278201037e-05;"AS IS";0;"Iniciativa 3";-3570,54572775084;-1746577,02726509;-303,57693593528;0;-1345744,96213253;-57072,6982643478;0;-2015105,07663217;-465351,612206242;-165774,138055647;-359002,04290557;0;0;0;0;0;0;0;0;0;"Adequação NR12 Serra circular";0;28397,138173622;249,113634811333;-1537511,94604836;0;0;0;23,0967686369549;0;0;188,323293778347;0;-342265,965921352;0;0;0;0;0;-1,06847278201037e-05;-1,06847278201037e-05;0;-1,06847278201037e-05;-1879317,37830454;-66,1798159664633
"10";"ASIS";4;-5079,97506379967;-245187,809444072;-6261,64940315444;0;-1356760,78846877;-57212,6462048728;0;-2015105,07663217;-466492,700707904;-165774,138055647;-19319,5817765075;0;0;0;0;0;1,23672578702582e-05;1,23672578702582e-05;0;1,23672578702582e-05;"AS IS";0;"Iniciativa 1";-5079,97506379967;-2049376,99854006;-3346,49060724274;0;-1356760,78846877;-57212,6462048728;0;-2015105,07663217;-466492,700707904;-165774,138055647;-421712,975345523;0;0;0;0;0;0;68640,7778411975;0;0;"PTA";0;213283,587186668;0;-1804189,18909599;2915,1587959117;0;0;0;0;0;0;0;-402393,393569016;0;0;0;0;0;-1,23672578702582e-05;68640,7778288303;0;-1,23672578702582e-05;-2135026,646065;-10,0102716492498
