"","Cenario.x","Replicacao","Soma_DespesaTurnoverDescontado.x","Soma_DespesaAbsenteismoDescontado.x","Soma_DespesaMultasDescontado.x","Soma_DespesaAcoesRegressivasINSSDescontado.x","Soma_DespesaFAPDescontado.x","Soma_DespesasImagemContratacaoDescontado.x","Soma_DespesasReabilitacaoDescontado.x","Soma_DespesasPlanodeSaudeDescontado.x","Soma_DespesasReclamatoriasDescontado.x","Soma_DespesasClimaDescontado.x","Soma_DespesasMedicasDescontado.x","Soma_DespesasRefugoERetrabalhoDescontado.x","Soma_DespesasMPInsumosDescontado.x","Soma_DespesaPresenteismoDescontado.x","Soma_DespesasInterrupcaoAcidentesDescontado.x","Soma_DespesasInterdicaoFiscalizacaoDescontado.x","Soma_GanhoQualidadeDescontado.x","Soma_GanhoProdutividadeDescontado.x","Cenario.y","Soma_DespesaTurnoverDescontado.y","Soma_DespesaAbsenteismoDescontado.y","Soma_DespesaMultasDescontado.y","Soma_DespesaAcoesRegressivasINSSDescontado.y","Soma_DespesaFAPDescontado.y","Soma_DespesasImagemContratacaoDescontado.y","Soma_DespesasReabilitacaoDescontado.y","Soma_DespesasPlanodeSaudeDescontado.y","Soma_DespesasReclamatoriasDescontado.y","Soma_DespesasClimaDescontado.y","Soma_DespesasMedicasDescontado.y","Soma_DespesasRefugoERetrabalhoDescontado.y","Soma_DespesasMPInsumosDescontado.y","Soma_DespesaPresenteismoDescontado.y","Soma_DespesasInterrupcaoAcidentesDescontado.y","Soma_DespesasInterdicaoFiscalizacaoDescontado.y","Soma_GanhoQualidadeDescontado.y","Soma_GanhoProdutividadeDescontado.y","CustoTotalCBR","BeneficioTurnover","BeneficioAbsenteismo","BeneficioMultas","BeneficioAcoesRegressivasINSS","BeneficioFAP","BeneficioImagemContratacao","BeneficioReabilitacao","BeneficioPlanodeSaude","BeneficioReclamatorias","BeneficioClima","BeneficioDespesasMedicas","BeneficioRefugoERetrabalho","BeneficioMPInsumos","BeneficioPresenteismo","BeneficioInterrupcaoAcidentes","BeneficioInterdicaoFiscalizacao","BeneficioGanhoQualidade","BeneficioGanhoProdutividade","BeneficioTotalCBR","RazaoBeneficioCusto"
"1","ASIS",1,-30731.2833592946,-3435256.25377873,-90479.0324895439,-281818.181818182,-5367531.84077504,-33912.3483419374,-3808.410792047,-10058.0393939394,-9961.30170315688,-3841.41041991182,-57600.6658121306,-61266.172039004,-61325.1974739828,-6957.57900144708,-49820.0999118762,-42450.929725004,0,0,"Iniciativa1",-12203.3885203165,-2072819.62495794,0,-95454.5454545454,-5367531.84077504,-10618.5373614759,0,-10034.3121212121,-592.104573406225,-1525.42356503956,-17039.6737669401,-23043.9451237251,-22845.2052486015,-3461.1609053598,-14345.1056316097,-11737.9837681666,5808.48095962632,1923.22595305218,95454.5454545454,18527.8948389781,1362436.62882079,90479.0324895439,186363.636363636,0,23293.8109804615,3808.410792047,23.7272727272739,9369.19712975066,2315.98685487226,40560.9920451905,38222.2269152789,38479.9922253813,3496.41809608728,35474.9942802665,30712.9459568374,5808.48095962632,1923.22595305218,1891297.60197453,19.8135939254474
"2","ASIS",2,-30399.410222383,-3450210.44960135,-90750.2259102072,-281818.181818182,-5367531.84077504,-34347.8960776252,-3853.71267042226,-10058.4545454545,-9704.52005694496,-3799.92627779788,-56843.8822984086,-61029.2103109692,-60742.6539692631,-6819.05512271601,-49264.0137897027,-41579.3362062284,0,0,"Iniciativa1",-12115.2226663639,-2088103.32863938,0,-95454.5454545454,-5367531.84077504,-10629.5052939081,0,-10034.4878787879,-584.379343160558,-1514.40283329549,-17155.0007851214,-23170.9834985219,-23000.1140864283,-3451.47135862631,-14382.8857053443,-11569.5019287903,5758.62352755664,1935.08772505745,95454.5454545454,18284.1875560192,1362107.12096197,90750.2259102072,186363.636363636,0,23718.3907837171,3853.71267042226,23.9666666666672,9120.1407137844,2285.52344450239,39688.8815132873,37858.2268124473,37742.5398828348,3367.5837640897,34881.1280843584,30009.8342774381,5758.62352755664,1935.08772505745,1887748.810658,19.7764161116552
"3","ASIS",3,-30623.1856472023,-3442677.55869422,-90223.0330256955,-281818.181818182,-5367531.84077504,-33776.8516911521,-3781.82123382149,-10057.396969697,-9989.17641619594,-3827.89820590029,-57409.6973955838,-61137.532352786,-60936.2965574885,-6890.74268234675,-49122.5654726077,-41401.2680070879,0,0,"Iniciativa1",-12384.1031420514,-2046814.49275551,0,-95454.5454545454,-5367531.84077504,-10608.7974492688,0,-10033.7848484848,-576.279501721853,-1548.01289275643,-17252.5851841542,-22978.9519191372,-22843.0342896377,-3416.95820127526,-14634.4097407228,-11816.1325840468,5733.20665661697,1909.14614669524,95454.5454545454,18239.0825051509,1395863.06593871,90223.0330256955,186363.636363636,0,23168.0542418832,3781.82123382149,23.6121212121197,9412.89691447409,2279.88531314386,40157.1122114296,38158.5804336489,38093.2622678508,3473.78448107149,34488.1557318849,29585.1354230411,5733.20665661697,1909.14614669524,1920953.47100997,20.1242744581996
"4","ASIS",4,-30827.8218982357,-3444318.09155424,-90132.9646698635,-281818.181818182,-5367531.84077504,-33690.8785925238,-3759.33961869661,-10058.5818181818,-9805.24503836982,-3853.47773727946,-57111.8188669963,-61140.0608964368,-60533.9234327054,-6843.55774150966,-49307.6147138683,-40984.1329631873,0,0,"Iniciativa1",-12236.9500253104,-2078059.26627393,0,-95454.5454545454,-5367531.84077504,-10743.3464722029,0,-10033.8181818182,-580.668715761617,-1529.6187531638,-17394.5358993318,-22916.4403195401,-23023.3494110712,-3426.67582625084,-14570.7599222384,-11842.0108809111,5745.9002325949,1913.01695851092,95454.5454545454,18590.8718729252,1366258.82528031,90132.9646698635,186363.636363636,0,22947.5321203209,3759.33961869661,24.7636363636357,9224.5763226082,2323.85898411566,39717.2829676645,38223.6205768967,37510.5740216342,3416.88191525883,34736.8547916299,29142.1220822762,5745.9002325949,1913.01695851092,1890032.62241531,19.8003417586365
"5","ASIS",5,-30714.476330806,-3424041.8041169,-90313.3600309486,-281818.181818182,-5367531.84077504,-33712.5756301028,-3861.64725444924,-10057.7333333333,-9675.705918883,-3839.30954135075,-57742.7152234447,-60665.8296234672,-60752.7000365493,-6917.72736163495,-48922.5596207079,-40999.7599298387,0,0,"Iniciativa1",-12095.5602420426,-2046705.91888275,0,-95454.5454545454,-5367531.84077504,-10535.67544157,0,-10033.8878787879,-578.520878660111,-1511.94503025533,-17195.1337231395,-22994.1654120469,-23370.0433470638,-3396.93978118902,-14502.5150337614,-11739.6263711916,5739.6839896092,1909.41059563791,95454.5454545454,18618.9160887634,1377335.88523415,90313.3600309486,186363.636363636,0,23176.9001885327,3861.64725444924,23.8454545454551,9097.18504022289,2327.36451109542,40547.5815003052,37671.6642114204,37382.6566894855,3520.78758044593,34420.0445869465,29260.1335586471,5739.6839896092,1909.41059563791,1901570.70287884,19.9212168873021
"6","ASIS",6,-30271.5372303994,-3460077.17092931,-90919.9687082371,-281818.181818182,-5367531.84077504,-34054.0785087253,-3813.2169206197,-10058.7393939394,-9820.32523626854,-3783.94215379993,-57845.4884188732,-61982.7447585783,-60610.1097038276,-6879.09463374737,-49696.9188246319,-41545.7320854828,0,0,"Iniciativa1",-12414.3619859581,-2058414.4566128,0,-95454.5454545454,-5367531.84077504,-10543.7646145799,0,-10034.2151515152,-587.900085436519,-1551.79524824477,-17255.4859880191,-23045.2146774512,-22859.9242425619,-3411.21212850204,-14469.0692708703,-11792.9322438644,5776.16760569756,1912.04892953024,95454.5454545454,17857.1752444413,1401662.71431651,90919.9687082371,186363.636363636,0,23510.3138941454,3813.2169206197,24.5242424242424,9232.42515083202,2232.14690555516,40590.0024308541,38937.5300811271,37750.1854612657,3467.88250524533,35227.8495537616,29752.7998416184,5776.16760569756,1912.04892953024,1929030.5881555,20.2088918759147
"7","ASIS",7,-30712.8973450464,-3477319.33579967,-90297.3573804994,-281818.181818182,-5367531.84077504,-34271.5764346434,-3829.72067934592,-10059.2727272727,-9891.26190506522,-3839.1121681308,-57069.5368557685,-61285.2636477699,-60596.7338324611,-6860.10606300616,-49293.3857181623,-42279.8897145776,0,0,"Iniciativa1",-12208.6555318518,-2052105.31991163,0,-95454.5454545454,-5367531.84077504,-10636.0886221284,0,-10034.2575757576,-567.007752462107,-1526.08194148148,-17190.1293153656,-22751.9947489258,-22978.1837728922,-3461.8896360278,-14579.3036778088,-11780.7784740501,5777.81532901095,1919.59749203039,95454.5454545454,18504.2418131946,1425214.01588804,90297.3573804994,186363.636363636,0,23635.487812515,3829.72067934592,25.015151515152,9324.25415260311,2313.03022664932,39879.4075404029,38533.268898844,37618.5500595689,3398.21642697836,34714.0820403535,30499.1112405275,5777.81532901095,1919.59749203039,1951846.80849571,20.4479189461456
"8","ASIS",8,-30382.2303893338,-3478188.38767724,-90379.7971979336,-281818.181818182,-5367531.84077504,-34505.7799671474,-3831.06531656533,-10058.4454545455,-9666.32452327934,-3797.77879866672,-57945.6896278103,-61261.0857735178,-60641.3173575093,-6839.50975041004,-49302.4261736123,-41136.3513499282,0,0,"Iniciativa1",-12227.3653628079,-2037272.42429559,0,-95454.5454545454,-5367531.84077504,-10540.4092637314,0,-10033.9757575758,-582.259945030273,-1528.42067035099,-17173.6950580365,-22745.5178414394,-22697.049164276,-3436.27950892785,-14380.8456195935,-11646.6680396237,5757.81289394117,1905.20663495758,95454.5454545454,18154.8650265259,1440915.96338165,90379.7971979336,186363.636363636,0,23965.370703416,3831.06531656533,24.4696969696961,9084.06457824907,2269.35812831573,40771.9945697738,38515.5679320784,37944.2681932332,3403.23024148219,34921.5805540187,29489.6833103045,5757.81289394117,1905.20663495758,1967697.93472305,20.6139783637653
"9","ASIS",9,-30204.0461087888,-3442407.51175196,-90583.1596466786,-281818.181818182,-5367531.84077504,-33973.9085644858,-3825.06336624882,-10058.3424242424,-9902.82013067644,-3775.5057635986,-57483.2499785065,-61280.5254210544,-61819.4188505708,-6951.68803856923,-49969.0981822862,-42112.8683347215,0,0,"Iniciativa1",-12219.3903516012,-2088123.22811076,0,-95454.5454545454,-5367531.84077504,-10800.5246281777,0,-10034.3939393939,-591.751828198151,-1527.42379395015,-17165.1818702065,-22798.961878101,-22982.9027262556,-3439.3803924911,-14615.2998310209,-11959.3762672295,5692.40631336825,1914.64289747166,95454.5454545454,17984.6557571876,1354284.2836412,90583.1596466786,186363.636363636,0,23173.3839363081,3825.06336624882,23.9484848484844,9311.06830247829,2248.08196964845,40318.0681083,38481.5635429534,38836.5161243152,3512.30764607813,35353.7983512654,30153.492067492,5692.40631336825,1914.64289747166,1882060.07651948,19.7168198492517
"10","ASIS",10,-30431.1932970076,-3428166.10814574,-90592.0003065443,-281818.181818182,-5367531.84077504,-33753.7638567152,-3832.24527056148,-10058.0818181818,-9817.00985451509,-3803.89916212595,-56877.3538688818,-61383.8382034226,-61291.1601349315,-6859.59676203758,-50120.3321693522,-42253.9226825295,0,0,"Iniciativa1",-12233.1846215007,-2022076.42485821,0,-95454.5454545454,-5367531.84077504,-10307.1063885223,0,-10033.7545454545,-576.595523409243,-1529.14807768759,-17173.4087661709,-22909.6012836907,-22666.3255858589,-3448.86182955249,-14431.1435506944,-11772.2259093878,5743.31488969345,1905.08449186022,95454.5454545454,18198.0086755068,1406089.68328753,90592.0003065443,186363.636363636,0,23446.6574681929,3832.24527056148,24.3272727272724,9240.41433110585,2274.75108443835,39703.9451027109,38474.2369197319,38624.8345490727,3410.73493248509,35689.1886186578,30481.6967731417,5743.31488969345,1905.08449186022,1934094.7603376,20.2619451082987
