"","Cenario","Ano","Replicacao","TaxaFaltas","CustoMedSubstitu","DiasMedAfast_Men15","PInvalidez","PAcaoRegressiva","PercPresenteismo","DespesaMedicaMedia","CustoMedioRefugoRetrabalho","CustoMedioMPInsumos","PReclamatoria","CustoMedioReclamatorias","PercentualReabilitacao","CustoMedioReabilitacao","SavingProdutividade","VarVolumeVendaQualidade","CustoMedSubstituporTempo","GanhoImagemReceitaEsperado","NumeroMultasAPriori_Lei1","NumeroMultasAPriori_Lei2","NumeroMultasAPriori_Lei3","NumeroMultasAPriori_Lei4","NumeroMultasAPriori_Lei5","CustoMedioMulta_Lei1","CustoMedioMulta_Lei2","CustoMedioMulta_Lei3","CustoMedioMulta_Lei4","CustoMedioMulta_Lei5","Atendimento_Lei1","Atendimento_Lei2","Atendimento_Lei3","Atendimento_Lei4","Atendimento_Lei5","DiasInterrupcaoAcidenteObito","DiasInterrupcaoAcidenteOutros","LucroCessanteDiario","EventoInterdicao","DiasInterdicaoFiscalizacao","Pev_Safast_Tipico","Pev_Safast_Trajeto","Pev_Safast_DoenOcup","Pev_Safast_NRelac","Pev_Obito_Tipico","Pev_Obito_Trajeto","Pev_Obito_DoenOcup","Pev_Obito_NRelac","Pev_Afmenor15_Tipico","Pev_Afmenor15_Trajeto","Pev_Afmenor15_DoenOcup","Pev_Afmenor15_NRelac","Pev_Afmaior15_Tipico","Pev_Afmaior15_Trajeto","Pev_Afmaior15_DoenOcup","Pev_Afmaior15_NRelac","Funcionarios","FolhadePagamento","RATTabela","HorasPorDia","CustoMDO","Crise","FatorCrise","NB_91_Inicial","NB_92_Inicial","NB_93_Inicial","NB_94_Inicial","NB_31_Inicial","NB_32_Inicial","Beta0DesligVoluntarios","BetaFreqDesligVoluntarios","BetaGravDesligVoluntarios","BetaPIBDesigVoluntarios","VarPIB","DesligamentosInvoluntarios","FuncDesligadosInicial","DespesasPlanoInicial","Beta0ReajustePlano","BetaFreqReajustePlano","BetaGravReajustePlano","ProducaoProjetada","MargemMedUnitaria","Beta0TempoContratacao","BetaFreqTempoContratacao","BetaGravTempoContratacao","BetaPIBTempoContratacao","TempoContratacaoPadrao","IFrMaximoImagem","IGrMaximoImagem","Beta0Multa1","Beta0Multa2","Beta0Multa3","Beta0Multa4","Beta0Multa5","Beta1Multa1","Beta1Multa2","Beta1Multa3","Beta1Multa4","Beta1Multa5","CustoMedio_NB_91","CustoMedio_NB_92","CustoMedio_NB_93","CustoMedio_NB_94","Beta0IFrequenciaFAP","Beta1IFrequenciaFAP","Beta0IGravidadeFAP","Beta1IGravidadeFAP","Beta0ICustoFAP","Beta1ICustoFAP","CustoTotal","Nev_Afmenor15_Tipico","Nev_Afmaior15_Tipico","Nev_Safast_Tipico","Nev_Obito_Tipico","Nev_Afmenor15_Trajeto","Nev_Afmaior15_Trajeto","Nev_Safast_Trajeto","Nev_Obito_Trajeto","Nev_Afmenor15_DoenOcup","Nev_Afmaior15_DoenOcup","Nev_Safast_DoenOcup","Nev_Obito_DoenOcup","Nev_Afmenor15_NRelac","Nev_Afmaior15_NRelac","Nev_Safast_NRelac","Nev_Obito_NRelac","NFaltas","NSubstituidos","DespesaTurnover","NumeroMultas_Lei1","NumeroMultas_Lei2","NumeroMultas_Lei3","NumeroMultas_Lei4","NumeroMultas_Lei5","DespesaMultas","NB_91","NB_92","NB_93","NB_94","NB_31","NB_32","NB_91_Acumulado","NB_92_Acumulado","NB_93_Acumulado","NB_94_Acumulado","NB_31_Acumulado","NB_32_Acumulado","HorasPresenteismo","DespesaPresenteismo","EventosDespesasMedicas","DespesasMedicas","EventosRefugoeRetrabalho","DespesasRefugoERetrabalho","EventosMPInsumos","DespesasMPInsumos","EventosIndiceFrequenciaAmpliado","IndiceFrequenciaAmpliado","IndiceGravidadeAmpliado","PercDesligamentoVoluntarios","DesligamentosVoluntarios","DespesasClima","FuncionariosDesligados","FuncionariosDesligadosAcumulado","TurnoverGeral","NReclamatorias","DespesasReclamatorias","ReajustePlanoEstimado","DespesasPlanodeSaude","EventosReabilitacao","DespesasReabilitacao","GanhoProdutividade","GanhoQualidade","TempoContratacaoEstimado","DespesasImagemContratacao","HouveGanhoImagemReceita","GanhoImagemReceita","DiasTotaisInterrupcaoAcidente","DespesasInterrupcaoAcidentes","DespesasInterdicaoFiscalizacao","DiasAbsenteismo","DespesaAbsenteismo","NB_AcaoRegressivaINSSAcumulado","AcoesRegressivasINSS","CustoMedioPonderadoAcaoRegressiva","DespesaAcoesRegressivasINSS","CustoTotalBeneficiosFAP","EventosFrequenciaFAP","FolhaSalarialMediaFAP","FuncionariosMedioFAP","TurnoverGeralMedioFAP","CustoBeneficiosFAP_Ultimos2Anos","DenomIndiceGravidadeFAP","IndiceFrequenciaFAP","PercentilFrequenciaFAP","IndiceGravidadeFAP","PercentilGravidadeFAP","IndiceCustoFAP","PercentilCustoFAP","FAP","RATAjustado","DespesaFAP","CustoTotalDescontado","DespesaTurnoverDescontado","DespesaAbsenteismoDescontado","DespesaMultasDescontado","DespesaAcoesRegressivasINSSDescontado","DespesaFAPDescontado","DespesasImagemContratacaoDescontado","DespesasReabilitacaoDescontado","DespesasPlanodeSaudeDescontado","DespesasReclamatoriasDescontado","DespesasClimaDescontado","DespesasMedicasDescontado","DespesasRefugoERetrabalhoDescontado","DespesasMPInsumosDescontado","DespesaPresenteismoDescontado","DespesasInterrupcaoAcidentesDescontado","DespesasInterdicaoFiscalizacaoDescontado","GanhoQualidadeDescontado","GanhoProdutividadeDescontado"
"1","ASIS",2017,1,5.07641130293458,993.359596969659,4.94229715820918,0.496436613831073,0.10097728276886,0.0098538676267838,2521.11880735586,2005.67966553942,1997.7897946835,0.100137694317031,990.288386911075,0.100310337877633,996.937678714891,0,0,9.94636688908179,0,13,13,13,13,13,498.296211580147,501.907971807258,493.327988202524,499.437829057352,493.603093120678,0,0,0,0,0,9.92391879595807,1.00194660212336,1003.17536478933,1.99868425905256,9.94966506468446,0.000500949424230104,0.000496712391349056,0.000498052337909441,0.000506674619379973,0.000502631517882233,0.000499979748689169,0.000499802126646812,0.000504950042003877,0.000495017655724179,0.000509421865178373,0.000502400316749589,0.000495219575801945,0.000511383037374157,0.000504240154575241,0.000498201109862016,0.000491263083295769,3000,2550000,3,8,15,1,0.1,1,1,1,1,1,1,1e-05,1e-05,1e-05,1e-05,0.1,10,10,10000,1e-04,1e-04,1e-04,10000,3,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,50000,50000,50000,50000,1,1,1,1,1,1,0,1,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,15229,12,-11920.3151636359,14,14,14,14,14,-34812.0233127514,1,2,4,4,1,0,2,3,5,5,2,1,236.492823042811,-3547.39234564217,9,-22690.0692662028,12,-24068.155986473,12,-23973.477536202,24,8,52.7433333333333,0.000618433333333333,2,-1986.71919393932,24,34,0.008,3.40468160677906,-3371.61665632304,0.00617433333333333,-10000,1,-996.937678714891,0,0,61.8433333333333,-14524.0827861128,FALSE,0,24.8575706025329,-24936.5024569725,-21944.3235116341,15258.6537829493,-1831038.45395391,15,2,50000,-1e+05,550000,9,12628104.87,213,0.26,450000,1100,42.2535211267606,43.2535211267606,5.16431924882629,6.16431924882629,0.03563480067932,1.03563480067932,0.367524744777625,1.10257423433287,-2811564.29754883,0,-11920.3151636359,-1831038.45395391,-34812.0233127514,-1e+05,-2811564.29754883,-14524.0827861128,-996.937678714891,-10000,-3371.61665632304,-1986.71919393932,-22690.0692662028,-24068.155986473,-23973.477536202,-3547.39234564217,-24936.5024569725,-21944.3235116341,0,0
"2","ASIS",2018,1,5.04882850218671,1001.53875704625,5.09262572055776,0.501629729463749,0.0991775710630879,0.0101457938552677,2484.04966593704,1987.36662428973,2004.5900759495,0.101195982645236,1004.47752767279,0.0995095244642797,992.732074464425,0,0,10.0977493873002,0,15,15,15,15,15,499.049124222738,498.539325267657,500.352293678942,505.257046086243,504.799652161446,0,0,0,0,0,10.048480529725,1.00181125701947,1004.17055940697,2.00026490000214,9.93863974843503,0.000503205810461361,0.000494292102364778,0.00049881757936098,0.000496913623429171,0.000510025468886145,0.000501926005343536,0.000501221715793332,0.000514879543600951,0.000501275491571304,0.000497708569775748,0.00050969076239827,0.000503023071395104,0.000507119671555767,0.000500026498468935,0.000493760327283947,0.000499573862334853,3000,2550000,3,8,15,1,0.1,1,1,1,1,1,1,1e-05,1e-05,1e-05,1e-05,0.1,10,10,10000,1e-04,1e-04,1e-04,10040,3,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,50000,50000,50000,50000,1,1,1,1,1,1,0,2,2,2,2,1,2,1,2,2,1,1,2,2,1,1,2,15146,14,-14021.5425986475,16,16,16,16,16,-40127.9590626724,1,3,6,4,1,1,3,6,11,9,3,2,243.499052526425,-3652.48578789638,10,-24840.4966593704,14,-27823.1327400562,14,-28064.2610632929,26,8.66666666666667,52.8033333333333,0.0006257,2,-2003.07751409249,26,60,0.00866666666666667,6.07175895871415,-6098.94542747431,0.006247,-62.47,1,-992.732074464425,0,0,62.57,-16164.6791741779,FALSE,0,26.1078286015668,-26216.7128517367,-21959.1048573311,15181.6483800439,-1821797.80560527,29,3,50000,-150000,7e+05,16,7589052.435,1606.5,0.134,8e+05,3600,9.95953937130408,10.9595393713041,2.24089635854342,3.24089635854342,0.105415004949824,1.10541500494982,0.112441984199412,0.337325952598237,-2811564.29754883,0,-12746.8569078613,-1656179.82327752,-36479.9627842477,-136363.636363636,-2555967.54322621,-14695.1628856163,-902.483704058568,-56.7909090909091,-5544.49584315846,-1820.9795582659,-22582.2696903367,-25293.7570364147,-25512.9646029936,-3320.44162536035,-23833.3753197607,-19962.8225975737,0,0
"3","ASIS",2017,2,4.95318418588626,989.9179477577,5.02564473581325,0.500741610514153,0.101370934930222,0.00999802043603675,2483.60975897052,1999.9484855628,2035.45424858349,0.098684122336772,1005.29214401796,0.097994897047308,986.598740359443,0,0,9.92482935669302,0,13,13,13,13,13,501.47423408609,495.880263063945,499.724676344258,504.975002491065,509.180556354938,0,0,0,0,0,9.93996460739121,1.01090943862182,1014.57106007437,2.00315768460785,10.0202957772301,0.000496446691220048,0.000500928093118509,0.000491936453530024,0.000495196621589615,0.000505670408824866,0.00050135711676888,0.000502421330602213,0.00050646889338559,0.000502512919798885,0.000499411534876059,0.000498335837959738,0.000498726672704619,0.000499507532373594,0.000498938511011196,0.000502349811646434,0.000500100452057372,3000,2550000,3,8,15,1,0.1,1,1,1,1,1,1,1e-05,1e-05,1e-05,1e-05,0.1,10,10,10000,1e-04,1e-04,1e-04,10000,3,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,50000,50000,50000,50000,1,1,1,1,1,1,0,2,1,1,2,1,1,2,2,1,2,1,2,1,2,1,2,14860,14,-13858.8512686078,14,14,14,14,14,-35157.2862527642,2,2,6,2,2,1,3,3,7,3,3,2,239.952490464882,-3599.28735697323,8,-19868.8780717642,12,-23999.3818267537,12,-24425.4509830018,24,8,51.7833333333333,0.000608833333333333,2,-1979.8358955154,26,36,0.00866666666666667,3.55262840412379,-3571.4294252807,0.00607833333333333,-10000,1,-986.598740359443,0,0,60.8833333333333,-15452.6284807258,FALSE,0,23.9235669692697,-24272.1587007723,-22401.1768129758,14885.1282236791,-1786215.38684149,16,2,50000,-1e+05,6e+05,9,12628104.87,213,0.26,450000,1100,42.2535211267606,43.2535211267606,5.16431924882629,6.16431924882629,0.03563480067932,1.03563480067932,0.367524744777625,1.10257423433287,-2811564.29754883,0,-13858.8512686078,-1786215.38684149,-35157.2862527642,-1e+05,-2811564.29754883,-15452.6284807258,-986.598740359443,-10000,-3571.4294252807,-1979.8358955154,-19868.8780717642,-23999.3818267537,-24425.4509830018,-3599.28735697323,-24272.1587007723,-22401.1768129758,0,0
"4","ASIS",2018,2,4.93730481682467,1000.73363443681,5.02545559181219,0.506132055540724,0.101330757870617,0.0102705693269053,2541.30973710291,1969.33269173437,2002.58987605262,0.100817286187719,1023.28859358619,0.0993486575674424,1014.35599876395,0,0,10.01639825433,0,14,14,14,14,14,501.508936596463,494.61628218764,503.383285816783,507.518233354212,499.63146416214,0,0,0,0,0,10.0248815741938,0.999599661388374,1011.9515568545,1.9983248904866,9.86813268460823,0.000498013008401129,0.000505205320950124,0.000507874110734689,0.000504613146173206,0.000504718803087169,0.000502900459467297,0.000482183996698253,0.000493578572939512,0.000501506246118503,0.000497516421704407,0.000503182223165021,0.000496643305041563,0.000513140630192055,0.000499145763172906,0.000499510290727325,0.000513375867459217,3000,2550000,3,8,15,1,0.1,1,1,1,1,1,1,1e-05,1e-05,1e-05,1e-05,0.1,10,10,10000,1e-04,1e-04,1e-04,10040,3,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,50000,50000,50000,50000,1,1,1,1,1,1,0,2,2,1,2,1,1,2,2,2,1,2,1,1,2,2,1,14812,12,-12008.8036132417,15,15,15,15,15,-37599.8730317586,1,2,5,3,2,1,4,5,12,6,5,3,246.493663845727,-3697.40495768591,10,-25413.0973710291,13,-25601.3249925468,13,-26033.6683886841,25,8.33333333333333,51.3833333333333,0.000608166666666667,2,-2001.46726887361,24,60,0.008,6.04903717126312,-6189.9107395324,0.00607166666666667,-60.7166666666667,1,-1014.35599876395,0,0,60.8166666666667,-14379.5413339162,FALSE,0,25.0477614553294,-25347.1212004408,-21950.9583724997,14842.1527335509,-1781058.3280261,27,3,50000,-150000,550000,17,7589052.435,1606.5,0.134333333333333,850000,4500,10.5820105820106,11.5820105820106,2.80112044817927,3.80112044817927,0.112003442759188,1.11200344275919,0.122421288884144,0.367263866652433,-2811564.29754883,0,-10917.0941938561,-1619143.93456919,-34181.7027561442,-136363.636363636,-2555967.54322621,-13072.3103035601,-922.141817058139,-55.1969696969697,-5627.19158139309,-1819.51569897601,-23102.8157918446,-23273.9318114062,-23666.97126244,-3361.27723425991,-23042.8374549461,-19955.4167022725,0,0
"5","ASIS",2017,3,5.06323519274818,983.742548067554,4.95203659244695,0.495992670348673,0.0994087138240605,0.00993690240125673,2525.97022747838,1998.78864966803,2003.13099238401,0.101019637104463,1005.47003040446,0.100347866132114,990.288806024241,0,0,9.98903110407156,0,10,10,10,10,10,500.76783400078,502.465813989202,496.702864740008,497.748919436164,497.66931191347,0,0,0,0,0,9.81038565624149,1.00463686492879,997.561279792492,1.96441203289759,10.0831392592225,0.000488333950413633,0.000501471693834531,0.000499493793953728,0.000499068888847733,0.000498558569999036,0.000500046427227339,0.000492325343816432,0.000505258984223098,0.000501010907627609,0.00050077364132228,0.000493084458070141,0.000496851641407616,0.000499029922285683,0.000501072091772585,0.000497174187063555,0.000494779296784829,3000,2550000,3,8,15,1,0.1,1,1,1,1,1,1,1e-05,1e-05,1e-05,1e-05,0.1,10,10,10000,1e-04,1e-04,1e-04,10000,3,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,50000,50000,50000,50000,1,1,1,1,1,1,0,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,15190,11,-10821.1680287431,11,11,11,11,11,-27448.9021848759,1,2,4,3,1,0,2,3,5,4,2,1,238.485657630161,-3577.28486445242,7,-17681.7915923486,9,-17989.0978470122,9,-18028.1789314561,22,7.33333333333333,52.4833333333333,0.000609166666666667,2,-1967.48509613511,23,33,0.00766666666666667,3.33364802444727,-3351.88318049876,0.00608166666666667,-10000,1,-990.288806024241,0,0,60.9166666666667,-13765.7172806693,FALSE,0,13.8289331159567,-13795.2082173185,-21735.048814371,15219.7122195547,-1826365.46634656,14,2,50000,-1e+05,5e+05,9,12628104.87,213,0.26,450000,1100,42.2535211267606,43.2535211267606,5.16431924882629,6.16431924882629,0.03563480067932,1.03563480067932,0.367524744777625,1.10257423433287,-2811564.29754883,0,-10821.1680287431,-1826365.46634656,-27448.9021848759,-1e+05,-2811564.29754883,-13765.7172806693,-990.288806024241,-10000,-3351.88318049876,-1967.48509613511,-17681.7915923486,-17989.0978470122,-18028.1789314561,-3577.28486445242,-13795.2082173185,-21735.048814371,0,0
"6","ASIS",2018,3,4.99517260501566,1009.90386463189,4.97670641593467,0.496922823864405,0.100895043655546,0.0100633107609031,2522.22883889417,2031.87211693246,1970.63645244683,0.0995404144122772,1007.17908211867,0.101380548274279,985.468702548149,0,0,9.93069857845147,0,14,14,14,14,14,489.40369916263,490.795449775802,498.171351715419,499.724977053157,509.446796076587,0,0,0,0,0,9.85726541211508,1.00000668220475,1001.83328198129,2.03317541625795,10.0772908754307,0.000498397075585135,0.000494194817901901,0.000500702991105962,0.000492897541681463,0.000500472615891572,0.000503029986961424,0.000502680107263546,0.000505731389542392,0.000494358305948988,0.000503529044197209,0.000508496681534871,0.000504501555380918,0.000501947189487047,0.000500583198285243,0.000492547964457377,0.000502466750611115,3000,2550000,3,8,15,1,0.1,1,1,1,1,1,1,1e-05,1e-05,1e-05,1e-05,0.1,10,10,10000,1e-04,1e-04,1e-04,10040,3,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,50000,50000,50000,50000,1,1,1,1,1,1,0,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,14986,15,-15148.5579694783,15,15,15,15,15,-37313.1341067539,1,2,6,4,2,1,3,5,11,8,4,2,241.519458261674,-3622.79187392511,9,-22700.0595500475,13,-26414.337520122,13,-25618.2738818088,27,9,52.37,0.0006247,2,-2019.80772926378,27,60,0.009,5.97242486473663,-6015.30139328817,0.006237,-62.37,1,-985.468702548149,0,0,62.47,-16481.8811236701,FALSE,0,23.7145575530492,-23758.0330241054,-22579.1082018938,15020.8369449115,-1802500.43338939,27,3,50000,-150000,650000,15,7589052.435,1606.5,0.133833333333333,750000,3500,9.33706816059757,10.3370681605976,2.17864923747277,3.17864923747277,0.0988265671404601,1.09882656714046,0.107442449200332,0.322327347600996,-2811564.29754883,0,-13771.4163358894,-1638636.75762671,-33921.0310061399,-136363.636363636,-2555967.54322621,-14983.5282942456,-895.880638680136,-56.7,-5468.45581208016,-1836.18884478525,-20636.4177727705,-24013.0341092018,-23289.3398925535,-3293.44715811373,-21598.2118400958,-20526.4620017216,0,0
"7","ASIS",2017,4,5.02705412336021,1006.92180626611,5.00971555610929,0.500853329832781,0.101962803676386,0.00992099446428323,2529.45613513343,2010.23216430424,2013.93462097249,0.0991753482242277,1007.29198989767,0.100056793126606,1013.1666644955,0,0,10.1303717234839,0,14,14,14,14,14,499.083120064385,494.052248596213,500.202633938717,495.321206986117,498.773549086849,0,0,0,0,0,9.86102495607476,0.983202703275741,1023.37594576953,2.00394353855651,9.94754206306084,0.000510956456302018,0.000502405597063265,0.000497455244432129,0.000494094694855972,0.000505062772372681,0.000496980480245539,0.00050231921969793,0.000499339439844153,0.000491944518713163,0.000500824930595808,0.000509013681769551,0.000506073811721206,0.000503687314082483,0.00049564326452748,0.000498768402037203,0.000502901457555558,3000,2550000,3,8,15,1,0.1,1,1,1,1,1,1,1e-05,1e-05,1e-05,1e-05,0.1,10,10,10000,1e-04,1e-04,1e-04,10000,3,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,50000,50000,50000,50000,1,1,1,1,1,1,0,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1,1,15081,12,-12083.0616751933,15,15,15,15,15,-37311.4913800842,1,2,5,3,2,1,2,3,6,4,3,2,238.103867142797,-3571.55800714196,9,-22765.1052162008,13,-26133.0181359551,13,-26181.1500726424,25,8.33333333333333,52.2833333333333,0.000617166666666667,2,-2013.84361253221,24,34,0.008,3.37196183962374,-3396.55015129361,0.00616166666666667,-10000,1,-1013.1666644955,0,0,61.7166666666667,-14761.9776754607,FALSE,0,24.6380634285282,-25214.0014630996,-22440.3256583628,15116.0680088928,-1813928.16106713,15,2,50000,-1e+05,550000,9,12628104.87,213,0.26,450000,1100,42.2535211267606,43.2535211267606,5.16431924882629,6.16431924882629,0.03563480067932,1.03563480067932,0.367524744777625,1.10257423433287,-2811564.29754883,0,-12083.0616751933,-1813928.16106713,-37311.4913800842,-1e+05,-2811564.29754883,-14761.9776754607,-1013.1666644955,-10000,-3396.55015129361,-2013.84361253221,-22765.1052162008,-26133.0181359551,-26181.1500726424,-3571.55800714196,-25214.0014630996,-22440.3256583628,0,0
"8","ASIS",2018,4,5.01552972654795,993.356236171226,4.95887326635227,0.494371556762432,0.0988119874453047,0.0101158597603901,2471.09035449123,1992.41425340914,2016.16194525896,0.0994791377880874,1004.09565508742,0.0987460890236942,1013.47621466447,0,0,10.0692092367413,0,14,14,14,14,14,502.166054947637,490.099987516172,491.804404404453,504.988933831724,497.739459524374,0,0,0,0,0,9.98123731139322,1.00056534642112,991.343157744222,2.00657837107192,10.0950339308095,0.000501505986892949,0.000499084403416888,0.000504781828193463,0.000497811176327082,0.000495169495784199,0.000501078628553705,0.00051266138135347,0.000498418805929588,0.000497579990244886,0.00050758731587011,0.000508860358022803,0.000504537806148902,0.000508668108519794,0.000496939993196587,0.000498972264965529,0.000497749128741075,3000,2550000,3,8,15,1,0.1,1,1,1,1,1,1,1e-05,1e-05,1e-05,1e-05,0.1,10,10,10000,1e-04,1e-04,1e-04,10040,3,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,50000,50000,50000,50000,1,1,1,1,1,1,0,1,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,15047,11,-10926.9185978835,15,15,15,15,15,-37301.9826033654,1,2,5,3,1,0,3,5,11,7,4,2,242.780634249361,-3641.70951374042,10,-24710.9035449123,13,-25901.3852943188,13,-26210.1052883664,24,8,52.07,0.0006117,2,-1986.71247234245,23,57,0.00766666666666667,5.67031085392098,-5693.53449141709,0.006107,-61.07,1,-1013.47621466447,0,0,61.17,-13934.8793548186,FALSE,0,14.9840640434988,-14854.3493647238,-22089.2315786961,15081.7121128645,-1809805.45354374,26,3,50000,-150000,550000,16,7589052.435,1606.5,0.134,8e+05,4000,9.95953937130408,10.9595393713041,2.48988484282602,3.48988484282602,0.105415004949824,1.10541500494982,0.114931869042238,0.344795607126715,-2811564.29754883,0,-9933.56236171226,-1645277.68503976,-33910.8932757867,-136363.636363636,-2555967.54322621,-12668.0721407442,-921.342013331339,-55.5181818181818,-5175.94044674281,-1806.10224758405,-22464.4577681021,-23546.7139039261,-23827.3684439695,-3310.64501249129,-13503.9539679307,-20081.1196169965,0,0
"9","ASIS",2017,5,4.99433097703184,1008.99226880032,5.08700011530076,0.496662420639035,0.096577945642573,0.00992197066437869,2516.31625049262,1986.18672995656,1977.60067076716,0.100018233609373,988.868454244238,0.0981909675217697,1004.60488485761,0,0,10.0004608963841,0,12,12,12,12,12,501.326467613605,502.186426131715,509.460323828456,509.592029520019,505.592860844831,0,0,0,0,0,10.0623080605568,1.00365877089682,986.735035209843,1.98171745720482,10.0357335231625,0.000500833265393292,0.000501326649009973,0.000496046288842948,0.000495776807494597,0.000490347284065976,0.000498132890919508,0.000497749068913158,0.000497953928728926,0.000499574620072919,0.00049799504810603,0.000501913233985071,0.000497258523703892,0.00049699021939815,0.000496059977173707,0.000504991937629983,0.000503432598850006,3000,2550000,3,8,15,1,0.1,1,1,1,1,1,1,1e-05,1e-05,1e-05,1e-05,0.1,10,10,10000,1e-04,1e-04,1e-04,10000,3,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,50000,50000,50000,50000,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,2,2,1,1,1,2,1,1,14983,10,-10089.9226880032,13,13,13,13,13,-32866.0554032021,2,2,3,2,2,1,3,3,4,3,3,2,238.127295945089,-3571.90943917633,9,-22646.8462544336,11,-21848.0540295222,11,-21753.6073784387,21,7,51.5566666666667,0.000596566666666667,2,-2017.98453760065,22,32,0.00733333333333333,3.20058347549993,-3164.95603409727,0.00595566666666667,-10000,1,-1004.60488485761,0,0,59.6566666666667,-12905.0614288692,FALSE,0,14.0769431441441,-13890.212988984,-21586.5923393032,15008.4350005765,-1801012.20006918,13,1,50000,-50000,450000,9,12628104.87,213,0.26,450000,1100,42.2535211267606,43.2535211267606,5.16431924882629,6.16431924882629,0.03563480067932,1.03563480067932,0.367524744777625,1.10257423433287,-2811564.29754883,0,-10089.9226880032,-1801012.20006918,-32866.0554032021,-50000,-2811564.29754883,-12905.0614288692,-1004.60488485761,-10000,-3164.95603409727,-2017.98453760065,-22646.8462544336,-21848.0540295222,-21753.6073784387,-3571.90943917633,-13890.212988984,-21586.5923393032,0,0
"10","ASIS",2018,5,5.00483210874303,996.812580575584,5.06088522423561,0.490136436642622,0.100745931474017,0.00988399916909236,2452.87538246866,2008.3001882788,1971.71213001938,0.0992573987326958,993.549903390556,0.101400000627308,997.92693800226,0,0,9.88177296420631,0,13,13,13,13,13,500.072011494835,498.322359073976,496.907165965121,505.265157233965,499.351609289132,0,0,0,0,0,9.88452253134051,1.00072169367117,1019.65536762463,1.97113310522284,10.0948113775951,0.000509969342904783,0.000499364100356803,0.000501888156247347,0.000501526295266631,0.000498243481281416,0.000499509375338972,0.00049552797946752,0.00049337061967593,0.000495538675409856,0.000497668595894292,0.000496222339834812,0.000499408990331002,0.000502871693559051,0.000503062054409288,0.000503607119510738,0.00049972678744677,3000,2550000,3,8,15,1,0.1,1,1,1,1,1,1,1e-05,1e-05,1e-05,1e-05,0.1,10,10,10000,1e-04,1e-04,1e-04,10040,3,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,50000,50000,50000,50000,1,1,1,1,1,1,0,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,1,15014,11,-10964.9383863314,14,14,14,14,14,-34998.8562427984,2,3,3,4,1,0,5,6,7,7,4,2,237.215980058217,-3558.23970087325,10,-24528.7538246866,12,-24099.6022593456,12,-23660.5455602326,22,7.33333333333333,51.7566666666667,0.0006019,2,-1993.62516115117,23,55,0.00766666666666667,5.45915693029827,-5423.94484069173,0.006009,-60.09,1,-997.92693800226,0,0,60.19,-13452.7492602815,FALSE,0,14.8881309996964,-15180.7626877391,-22318.2560321052,15034.2435408969,-1804109.22490763,25,3,50000,-150000,6e+05,14,7589052.435,1606.5,0.133666666666667,7e+05,3000,8.71459694989107,9.71459694989107,1.86741363211951,2.86741363211951,0.0922381293310961,1.0922381293311,0.0999530293584259,0.299859088075278,-2811564.29754883,0,-9968.12580575584,-1640099.29537058,-31817.1420389076,-136363.636363636,-2555967.54322621,-12229.7720548014,-907.206307274781,-54.6272727272727,-4930.85894608339,-1812.38651013742,-22298.8671133515,-21908.7293266778,-21509.5868729387,-3234.76336443023,-13800.6933524901,-20289.3236655502,0,0
