"Cenario";"Ano";"Replicacao";"NAfastMen15";"NDiasFalta";"PercAfastMen15";"PercFalta";"Funcionarios";"FolhadePagamento";"SalarioMedio";"DespesaSATProjetada";"SATProjetado";"FAPProjetado";"IndiceDoSAT";"HorasPorDia";"CustoMDO";"CustoTotal";"DiasAbsenteismo";"DespesaAbsenteismo";"CustoTotalDescontado";"DespesaAbsenteismoDescontado"
"SemIniciativa";2017;1;13,1380451123724;15,9716383728563;0,100682877051655;0,100874581020675;3000;2550000;750;153000;0,06;0,02;3;8;20;0;8801,72552947109;-1408276,08471537;0;-1408276,08471537
"SemIniciativa";2017;2;6,84257392055459;20,6835791436072;0,100726011442559;0,0996345816122435;3000;2550000;750;153000;0,06;0,02;3;8;20;0;8250,07479970611;-1320011,96795298;0;-1320011,96795298
"SemIniciativa";2017;3;10,0671103741592;18,8663845921475;0,100705890064722;0,0983969693320343;3000;2550000;750;153000;0,06;0,02;3;8;20;0;8610,63713018822;-1377701,94083012;0;-1377701,94083012
"SemIniciativa";2017;4;7,49602885773152;24,137281321017;0,100339190976625;0,100127730620564;3000;2550000;750;153000;0,06;0,02;3;8;20;0;9506,87001943736;-1521099,20310998;0;-1521099,20310998
"SemIniciativa";2017;5;12,1951183119415;21,0215681726004;0,10191377857556;0,100750626006071;3000;2550000;750;153000;0,06;0,02;3;8;20;0;10082,3602210943;-1613177,63537509;0;-1613177,63537509
"Iniciativa1";2017;1;6,83494276578898;16,1615290501616;0,0491265661510443;0,0489105917699877;3000;2550000;750;153000;0,06;0,02;3;8;20;500;3378,74165302015;-540598,664483225;500;-540598,664483225
"Iniciativa1";2017;2;10,147208689375;21,5667463390835;0,0517920283909138;0,0498609720694623;3000;2550000;750;153000;0,06;0,02;3;8;20;500;4802,65037211258;-768424,059538012;500;-768424,059538012
"Iniciativa1";2017;3;6,48244366535074;17,983045041432;0,0501067197683275;0,0498584709389247;3000;2550000;750;153000;0,06;0,02;3;8;20;500;3664,26335023593;-586282,136037748;500;-586282,136037748
"Iniciativa1";2017;4;9,46232881862753;20,7060524199429;0,0500830025952381;0,0517935085056451;3000;2550000;750;153000;0,06;0,02;3;8;20;500;4639,02282273289;-742243,651637263;500;-742243,651637263
"Iniciativa1";2017;5;10,2578703265056;20,4462123386845;0,0517508636087981;0,050713319904728;3000;2550000;750;153000;0,06;0,02;3;8;20;500;4703,2468660663;-752519,498570608;500;-752519,498570608
