"";"Cenario.x";"Replicacao";"Soma_DespesaTurnoverDescontado.x";"Soma_DespesaAbsenteismoDescontado.x";"Soma_DespesaMultasDescontado.x";"Soma_DespesaAcoesRegressivasINSSDescontado.x";"Soma_DespesaFAPDescontado.x";"Soma_DespesasImagemContratacaoDescontado.x";"Soma_DespesasReabilitacaoDescontado.x";"Soma_DespesasPlanodeSaudeDescontado.x";"Soma_DespesasReclamatoriasDescontado.x";"Soma_DespesasClimaDescontado.x";"Soma_DespesasMedicasDescontado.x";"Soma_DespesasRefugoERetrabalhoDescontado.x";"Soma_DespesasMPInsumosDescontado.x";"Soma_DespesaPresenteismoDescontado.x";"Soma_DespesasInterrupcaoAcidentesDescontado.x";"Soma_DespesasInterdicaoFiscalizacaoDescontado.x";"Soma_GanhoQualidadeDescontado.x";"Soma_GanhoProdutividadeDescontado.x";"Soma_DespesasSeguroPatrimonialDescontado.x";"Cenario.y";"Soma_DespesaTurnoverDescontado.y";"Soma_DespesaAbsenteismoDescontado.y";"Soma_DespesaMultasDescontado.y";"Soma_DespesaAcoesRegressivasINSSDescontado.y";"Soma_DespesaFAPDescontado.y";"Soma_DespesasImagemContratacaoDescontado.y";"Soma_DespesasReabilitacaoDescontado.y";"Soma_DespesasPlanodeSaudeDescontado.y";"Soma_DespesasReclamatoriasDescontado.y";"Soma_DespesasClimaDescontado.y";"Soma_DespesasMedicasDescontado.y";"Soma_DespesasRefugoERetrabalhoDescontado.y";"Soma_DespesasMPInsumosDescontado.y";"Soma_DespesaPresenteismoDescontado.y";"Soma_DespesasInterrupcaoAcidentesDescontado.y";"Soma_DespesasInterdicaoFiscalizacaoDescontado.y";"Soma_GanhoQualidadeDescontado.y";"Soma_GanhoProdutividadeDescontado.y";"Soma_DespesasSeguroPatrimonialDescontado.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioFAP";"BeneficioImagemContratacao";"BeneficioReabilitacao";"BeneficioPlanodeSaude";"BeneficioReclamatorias";"BeneficioClima";"BeneficioDespesasMedicas";"BeneficioRefugoERetrabalho";"BeneficioMPInsumos";"BeneficioPresenteismo";"BeneficioInterrupcaoAcidentes";"BeneficioInterdicaoFiscalizacao";"BeneficioGanhoQualidade";"BeneficioGanhoProdutividade";"BeneficioSeguroPatrimonial";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"1";"ASIS";1;0;-161780,233557201;0;0;-449133,281363647;0;0;-166618,93873442;0;0;-46921,7998561375;0;0;0;0;0;0;0;0;"Iniciativa1";0;-159831,732723475;0;0;-449133,281363647;0;0;-157927,867196443;0;0;-44048,4011734652;0;0;0;0;0;0;0;0;165226,520661157;0;1948,50083372623;0;0;0;0;0;8691,07153797714;0;0;2873,3986826723;0;0;0;0;0;0;0;0;13512,9710543757;0,0817845161920935
"2";"ASIS";1;0;-161780,233557201;0;0;-449133,281363647;0;0;-166618,93873442;0;0;-46921,7998561375;0;0;0;0;0;0;0;0;"Iniciativa2";0;-143545,326717105;0;0;-449133,281363647;0;0;-146024,964976893;0;0;-40191,4573374249;0;0;0;0;0;0;0;0;12103,305785124;0;18234,9068400964;0;0;0;0;0;20593,9737575271;0;0;6730,34251871262;0;0;0;0;0;0;0;0;45559,2231163361;3,76419665215205
"3";"ASIS";2;0;-154136,268160606;0;0;-437478,42584433;0;0;-169928,114444165;0;0;-33834,3685762559;0;0;0;0;0;0;0;0;"Iniciativa1";0;-152214,189621519;0;0;-437478,42584433;0;0;-165320,790168175;0;0;-31622,3164850511;0;0;0;0;0;0;0;0;165226,520661157;0;1922,07853908668;0;0;0;0;0;4607,32427598949;0;0;2212,05209120488;0;0;0;0;0;0;0;0;8741,45490628105;0,0529058826107453
"4";"ASIS";2;0;-154136,268160606;0;0;-437478,42584433;0;0;-169928,114444165;0;0;-33834,3685762559;0;0;0;0;0;0;0;0;"Iniciativa2";0;-136068,296378543;0;0;-437478,42584433;0;0;-152828,979355829;0;0;-28384,7992022348;0;0;0;0;0;0;0;0;12103,305785124;0;18067,9717820626;0;0;0;0;0;17099,1350883357;0;0;5449,5693740211;0;0;0;0;0;0;0;0;40616,6762444194;3,35583327113332
"5";"ASIS";3;0;-140216,129181415;0;0;-437476,658390904;0;0;-136450,463956443;0;0;-18032,5341826922;0;0;0;0;0;0;0;0;"Iniciativa1";0;-138764,761031918;0;0;-437476,658390904;0;0;-132241,580605666;0;0;-16674,9477311477;0;0;0;0;0;0;0;0;165226,520661157;0;1451,36814949766;0;0;0;0;0;4208,88335077735;0;0;1357,58645154444;0;0;0;0;0;0;0;0;7017,83795181946;0,0424740406306291
"6";"ASIS";3;0;-140216,129181415;0;0;-437476,658390904;0;0;-136450,463956443;0;0;-18032,5341826922;0;0;0;0;0;0;0;0;"Iniciativa2";0;-122713,771630198;0;0;-437476,658390904;0;0;-121516,544463595;0;0;-14302,196362898;0;0;0;0;0;0;0;0;12103,305785124;0;17502,3575512171;0;0;0;0;0;14933,9194928485;0;0;3730,33781979417;0;0;0;0;0;0;0;0;36166,6148638598;2,98816005362038
"7";"ASIS";4;0;-145199,852551414;0;0;-437471,903631639;0;0;-152735,669073843;0;0;-22564,241774098;0;0;0;0;0;0;0;0;"Iniciativa1";0;-143212,774091928;0;0;-420024,04078261;0;0;-148005,886470365;0;0;-20504,0585819143;0;0;0;0;0;0;0;0;165226,520661157;0;1987,07845948637;0;0;17447,8628490289;0;0;4729,7826034785;0;0;2060,18319218366;0;0;0;0;0;0;0;0;26224,9071041774;0,158720930509448
"8";"ASIS";4;0;-145199,852551414;0;0;-437471,903631639;0;0;-152735,669073843;0;0;-22564,241774098;0;0;0;0;0;0;0;0;"Iniciativa2";0;-127351,171970734;0;0;-420024,04078261;0;0;-136603,829943189;0;0;-18128,8070968899;0;0;0;0;0;0;0;0;12103,305785124;0;17848,6805806807;0;0;17447,8628490289;0;0;16131,8391306543;0;0;4435,43467720812;0;0;0;0;0;0;0;0;55863,817237572;4,61558339757338
"9";"ASIS";5;0;-147779,186684102;0;0;-449122,602055632;0;0;-151303,836079999;0;0;-28586,9962930047;0;0;0;0;0;0;0;0;"Iniciativa1";0;-145936,414953832;0;0;-437485,324958763;0;0;-147548,957375052;0;0;-26453,3209816885;0;0;0;0;0;0;0;0;165226,520661157;0;1842,77173027029;0;0;11637,277096869;0;0;3754,8787049469;0;0;2133,67531131622;0;0;0;0;0;0;0;0;19368,6028434024;0,117224539776657
"10";"ASIS";5;0;-147779,186684102;0;0;-449122,602055632;0;0;-151303,836079999;0;0;-28586,9962930047;0;0;0;0;0;0;0;0;"Iniciativa2";0;-130042,944592307;0;0;-437485,324958763;0;0;-136795,586533782;0;0;-23893,8127375655;0;0;0;0;0;0;0;0;12103,305785124;0;17736,2420917957;0;0;11637,277096869;0;0;14508,2495462166;0;0;4693,18355543928;0;0;0;0;0;0;0;0;48574,9522903206;4,0133623947619
