"";"Cenario.x";"Replicacao";"Soma_DespesaTurnoverDescontado.x";"Soma_DespesaAbsenteismoDescontado.x";"Soma_DespesaMultasDescontado.x";"Soma_DespesaAcoesRegressivasINSSDescontado.x";"Soma_DespesaFAPDescontado.x";"Soma_DespesasImagemContratacaoDescontado.x";"Soma_DespesasReabilitacaoDescontado.x";"Soma_DespesasPlanodeSaudeDescontado.x";"Soma_DespesasReclamatoriasDescontado.x";"Soma_DespesasClimaDescontado.x";"Soma_DespesasMedicasDescontado.x";"Soma_DespesasRefugoERetrabalhoDescontado.x";"Soma_DespesasMPInsumosDescontado.x";"Soma_DespesaPresenteismoDescontado.x";"Soma_DespesasInterrupcaoAcidentesDescontado.x";"Soma_DespesasInterdicaoFiscalizacaoDescontado.x";"Soma_GanhoQualidadeDescontado.x";"Soma_GanhoProdutividadeDescontado.x";"Soma_DespesasSeguroPatrimonialDescontado.x";"Cenario.y";"Soma_DespesaTurnoverDescontado.y";"Soma_DespesaAbsenteismoDescontado.y";"Soma_DespesaMultasDescontado.y";"Soma_DespesaAcoesRegressivasINSSDescontado.y";"Soma_DespesaFAPDescontado.y";"Soma_DespesasImagemContratacaoDescontado.y";"Soma_DespesasReabilitacaoDescontado.y";"Soma_DespesasPlanodeSaudeDescontado.y";"Soma_DespesasReclamatoriasDescontado.y";"Soma_DespesasClimaDescontado.y";"Soma_DespesasMedicasDescontado.y";"Soma_DespesasRefugoERetrabalhoDescontado.y";"Soma_DespesasMPInsumosDescontado.y";"Soma_DespesaPresenteismoDescontado.y";"Soma_DespesasInterrupcaoAcidentesDescontado.y";"Soma_DespesasInterdicaoFiscalizacaoDescontado.y";"Soma_GanhoQualidadeDescontado.y";"Soma_GanhoProdutividadeDescontado.y";"Soma_DespesasSeguroPatrimonialDescontado.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioFAP";"BeneficioImagemContratacao";"BeneficioReabilitacao";"BeneficioPlanodeSaude";"BeneficioReclamatorias";"BeneficioClima";"BeneficioDespesasMedicas";"BeneficioRefugoERetrabalho";"BeneficioMPInsumos";"BeneficioPresenteismo";"BeneficioInterrupcaoAcidentes";"BeneficioInterdicaoFiscalizacao";"BeneficioGanhoQualidade";"BeneficioGanhoProdutividade";"BeneficioSeguroPatrimonial";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"1";"ASIS";3;0;0;0;0;-437476,658390904;0;0;-136108,526452579;0;0;-18032,5341826922;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437476,658390904;0;0;-160353,803808055;0;0;-19558,8583770708;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;0;0;0;-24245,2773554763;0;0;-1526,32419437862;0;0;0;0;0;0;0;0;-25771,6015498549;-0,155977390595222
"2";"ASIS";3;0;0;0;0;-437476,658390904;0;0;-136108,526452579;0;0;-18032,5341826922;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437476,658390904;0;0;-153039,438266568;0;0;-17521,4772961259;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;0;0;0;-16930,9118139893;0;0;511,056886566254;0;0;0;0;0;0;0;0;-16419,8549274231;-1,35664216197896
"3";"ASIS";4;0;0;0;0;-437471,903631639;0;0;-152297,915810419;0;0;-22564,241774098;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437471,903631639;0;0;-160353,803808055;0;0;-22802,4142562348;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;0;0;0;-8055,88799763584;0;0;-238,172482136782;0;0;0;0;0;0;0;0;-8294,06047977263;-0,0501981185985385
"4";"ASIS";6;0;0;0;0;-449122,736793059;0;0;-144802,496832303;0;0;-25652,7525923695;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437485,421199782;0;0;-160353,803808055;0;0;-22714,4817160527;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;11637,3155932768;0;0;-15551,3069757521;0;0;2938,27087631679;0;0;0;0;0;0;0;0;-975,720506158512;-0,00590535043801775
"5";"ASIS";8;0;0;0;0;-437475,774068297;0;0;-128104,531147115;0;0;-13046,8056749824;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437475,774068297;0;0;-160353,803808055;0;0;-15239,4842585203;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;0;0;0;-32249,2726609406;0;0;-2192,67858353793;0;0;0;0;0;0;0;0;-34441,9512444785;-0,208452923336147
"6";"ASIS";8;0;0;0;0;-437475,774068297;0;0;-128104,531147115;0;0;-13046,8056749824;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437475,774068297;0;0;-153039,438266568;0;0;-13652,0379815911;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;0;0;0;-24934,9071194537;0;0;-605,232306608728;0;0;0;0;0;0;0;0;-25540,1394260624;-2,11017881225917
"7";"ASIS";12;0;0;0;0;-408392,132216591;0;0;-177715,99150224;0;0;-25067,6959451546;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437461,168239799;0;0;-160353,803808055;0;0;-20518,4823333994;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;-29069,0360232079;0;0;17362,1876941845;0;0;4549,21361175523;0;0;0;0;0;0;0;0;-7157,6347172682;-0,0433201321956475
"8";"ASIS";17;0;0;0;0;-437474,751242328;0;0;-144494,474684928;0;0;-16480,4932906741;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437474,751242328;0;0;-160353,803808055;0;0;-18970,6532554181;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;0;0;0;-15859,3291231274;0;0;-2490,15996474409;0;0;0;0;0;0;0;0;-18349,4890878715;-0,11105656049916
"9";"ASIS";17;0;0;0;0;-437474,751242328;0;0;-144494,474684928;0;0;-16480,4932906741;0;0;0;0;0;0;0;0;"Iniciativa2";0;0;0;0;-437474,751242328;0;0;-153039,438266568;0;0;-16994,5435413121;0;0;0;0;0;0;0;0;12103,305785124;0;0;0;0;0;0;0;-8544,96358164051;0;0;-514,050250638029;0;0;0;0;0;0;0;0;-9059,01383227854;-0,748474341895325
"10";"ASIS";21;0;0;0;0;-437481,058344973;0;0;-155315,830080617;0;0;-27061,901426364;0;0;0;0;0;0;0;0;"Iniciativa1";0;0;0;0;-437481,058344973;0;0;-160353,803808055;0;0;-25385,3405048901;0;0;0;0;0;0;0;0;165226,520661157;0;0;0;0;0;0;0;-5037,97372743781;0;0;1676,56092147392;0;0;0;0;0;0;0;0;-3361,4128059639;-0,020344269143435
